2026/03/26 15:31:53:526	Station:AOI3,request Command:AOI_RESULT,P1:AOI3,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5: false;false;false;false,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P7:1;TM7000-TM7000-TM7000-TM7000 NG,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 15:34:14:501	Station:DTC,DisConnect IP:127.0.0.1,Port:6005
2026/03/26 15:34:32:484	Station:DTC,RemoteConnect IP:127.0.0.1,Port:6005
2026/03/26 15:40:14:984	Station:DTC,RemoteConnect IP:127.0.0.1,Port:6005
2026/03/26 15:42:29:108	Station:DTC,DisConnect IP:127.0.0.1,Port:6005
2026/03/26 15:42:40:342	Station:DTC,RemoteConnect IP:127.0.0.1,Port:6005
2026/03/26 15:43:27:168	Station:DTC,DisConnect IP:127.0.0.1,Port:6005
2026/03/26 15:43:32:702	Station:LOAD,DisConnect IP:127.0.0.1,Port:6001
2026/03/26 15:43:36:192	Station:LOAD,RemoteConnect IP:127.0.0.1,Port:6001
2026/03/26 15:44:02:983	Station:DTC,RemoteConnect IP:127.0.0.1,Port:6005
2026/03/26 15:46:36:355	Station:DTC,request Command:DTC_REPORT,P1:DTC,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:True;True;True;True,P6:D:\Aging Data\OutPut\A02_C132_UnLoad\2026-03-26\PASS\P1_AAA1234_20260326154527_PASS.csv;D:\Aging Data\OutPut\A02_C132_UnLoad\2026-03-26\PASS\P2_AAA1234_20260326154557_PASS.csv;D:\Aging Data\OutPut\A02_C132_UnLoad\2026-03-26\PASS\P3_AAA1234_20260326154611_PASS.csv;D:\Aging Data\OutPut\A02_C132_UnLoad\2026-03-26\PASS\P4_AAA1234_20260326154633_PASS.csv,P7:;;;,P8:DTC0_00004700_00004700#DTC1_00004700_00004700#DTC2_00004700_00004700#DTC3_00004700_00004700#DTC4_00004700_00004700#DTC5_00004700_00004700#DTC6_00004700_00004700;DTC0_00004700_00004700#DTC1_00004700_00004700#DTC2_00004700_00004700#DTC3_00004700_00004700#DTC4_00004700_00004700#DTC5_00004700_00004700#DTC6_00004700_00004700;DTC0_00004700_00004700#DTC1_00004700_00004700#DTC2_00004700_00004700#DTC3_00004700_00004700#DTC4_00004700_00004700#DTC5_00004700_00004700#DTC6_00004700_00004700;DTC0_00004700_00004700#DTC1_00004700_00004700#DTC2_00004700_00004700#DTC3_00004700_00004700#DTC4_00004700_00004700#DTC5_00004700_00004700#DTC6_00004700_00004700,P9:
2026/03/26 15:46:36:368	Station:DTC,request Command:GET_RESULT,P1:DTC,P2:AAA1234,P3:,P4:,P5:,P6:,P7:,P8:,P9:
2026/03/26 15:46:40:461	Station:DTC,request Command:GET_RESULT,P1:DTC,P2:AAA1234,P3:,P4:,P5:,P6:,P7:,P8:,P9:
2026/03/26 15:54:48:813	Station:LOAD,request Command:SN_CHECK,P1:LOAD,P2:BBB1234,P3:5;6;7;8,P4:A1;A2;A3;A4,P5:,P6:,P7:,P8:,P9:
2026/03/26 15:55:26:251	Station:LOAD,request Command:SN_CHECK,P1:LOAD,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:,P6:,P7:,P8:,P9:
2026/03/26 15:57:05:150	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 15:57:35:074	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 15:57:36:034	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:02:14:604	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 16:02:17:066	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:03:05:784	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 16:03:06:746	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:03:25:561	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 16:03:28:537	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:08:02:852	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 16:08:04:061	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:08:48:050	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 16:09:22:099	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:09:30:589	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:09:30:591	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:true;true;true;true,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip,P7:,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 16:14:53:965	Station:LOAD,Listen IP:127.0.0.1,Port:6001
2026/03/26 16:14:54:090	Station:AOI1,Listen IP:127.0.0.1,Port:6002
2026/03/26 16:14:54:201	Station:AOI2,Listen IP:127.0.0.1,Port:6003
2026/03/26 16:14:54:311	Station:AOI3,Listen IP:127.0.0.1,Port:6004
2026/03/26 16:14:54:433	Station:DTC,Listen IP:127.0.0.1,Port:6005
2026/03/26 16:15:15:417	Station:LOAD,RemoteConnect IP:127.0.0.1,Port:6001
2026/03/26 16:15:27:296	Station:DTC,RemoteConnect IP:127.0.0.1,Port:6005
2026/03/26 16:15:46:410	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:15:55:390	Station:AOI2,RemoteConnect IP:127.0.0.1,Port:6003
2026/03/26 16:15:58:871	Station:AOI3,RemoteConnect IP:127.0.0.1,Port:6004
2026/03/26 16:16:11:334	Station:LOAD,request Command:SN_CHECK,P1:LOAD,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:,P6:,P7:,P8:,P9:
2026/03/26 16:17:54:841	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 16:18:11:298	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:18:13:610	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:18:13:612	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:true;true;true;true,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip,P7:,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 16:20:05:816	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:true;true;true;true,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip,P7:,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 16:25:06:719	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:true;true;true;true,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip,P7:,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 16:26:00:422	Station:AOI2,request Command:AOI_RESULT,P1:AOI2,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:true;true;true;true,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P7:,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 16:26:18:625	Station:AOI3,request Command:AOI_RESULT,P1:AOI3,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:true;true;true;true,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P7:,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 16:27:16:900	Station:LOAD,Listen IP:127.0.0.1,Port:6001
2026/03/26 16:27:17:025	Station:AOI1,Listen IP:127.0.0.1,Port:6002
2026/03/26 16:27:17:132	Station:AOI2,Listen IP:127.0.0.1,Port:6003
2026/03/26 16:27:17:249	Station:AOI3,Listen IP:127.0.0.1,Port:6004
2026/03/26 16:27:17:368	Station:DTC,Listen IP:127.0.0.1,Port:6005
2026/03/26 16:27:33:240	Station:LOAD,Listen IP:127.0.0.1,Port:6001
2026/03/26 16:27:33:362	Station:AOI1,Listen IP:127.0.0.1,Port:6002
2026/03/26 16:27:33:473	Station:AOI2,Listen IP:127.0.0.1,Port:6003
2026/03/26 16:27:33:594	Station:AOI3,Listen IP:127.0.0.1,Port:6004
2026/03/26 16:27:33:703	Station:DTC,Listen IP:127.0.0.1,Port:6005
2026/03/26 16:27:43:900	Station:LOAD,RemoteConnect IP:127.0.0.1,Port:6001
2026/03/26 16:27:54:091	Station:DTC,RemoteConnect IP:127.0.0.1,Port:6005
2026/03/26 16:28:51:182	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 16:29:14:713	Station:AOI2,RemoteConnect IP:127.0.0.1,Port:6003
